#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:25.01.2019 23:17,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:950.91,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200ÁC/04:00/1200ÁC,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200ÁC/04:00/1200ÁC,,,,
,,,surface area,2.594946
##Temp./ÁC,Time/min,Mass loss/mg,,
1200.01818,46.5,0.930424,,
1199.97165,46.75,0.929203,,
1199.96979,47,0.943943,,
1199.98014,47.25,0.939301,,
1200.00433,47.5,0.940434,,
1200.01105,47.75,0.944196,,
1200.00574,48,0.949366,,
1199.99552,48.25,0.953854,,
1199.98109,48.5,0.951819,,
1199.97093,48.75,0.958826,,
1199.96201,49,0.960124,,
1199.95622,49.25,0.963765,,
1199.95488,49.5,0.960399,,
1199.95503,49.75,0.959321,,
1199.95592,50,0.964238,,
1199.95533,50.25,0.975172,,
1199.95344,50.5,0.966691,,
1199.95293,50.75,0.96459,,
1199.95738,51,0.968858,,
1199.96266,51.25,0.971729,,
1199.96995,51.5,0.969749,,
1199.96884,51.75,0.976041,,
1199.97079,52,0.976844,,
1199.97137,52.25,0.976063,,
1199.9741,52.5,0.979506,,
1199.97352,52.75,0.979517,,
1199.97094,53,0.980199,,
1199.97314,53.25,0.991617,,
1199.97698,53.5,0.986062,,
1199.98338,53.75,0.991012,,
1199.98447,54,0.990968,,
1199.98344,54.25,1.002782,,
1199.98394,54.5,0.998019,,
1199.98379,54.75,0.99737,,
1199.98563,55,0.996391,,
1199.98658,55.25,0.996655,,
1199.9876,55.5,1.005191,,
1199.98963,55.75,1.00067,,
1199.98986,56,1.010955,,
1199.99084,56.25,1.004828,,
1199.99253,56.5,1.014288,,
1199.99442,56.75,1.012484,,
1199.99908,57,1.013463,,
1199.99619,57.25,1.015289,,
1199.99669,57.5,1.017313,,
1199.99703,57.75,1.017368,,
1199.99958,58,1.015003,,
1200.00244,58.25,1.019744,,
1200.0031,58.5,1.032493,,
1200.00193,58.75,1.025266,,
1199.99989,59,1.017918,,
1200.00021,59.25,1.027939,,
1200.00364,59.5,1.027664,,
1200.00685,59.75,1.019194,,
1200.00886,60,1.030029,,
1200.01056,60.25,1.03422,,
1200.01014,60.5,1.02751,,
1200.01204,60.75,1.033186,,
1200.01179,61,1.030084,,
1200.01244,61.25,1.037905,,
1200.01298,61.5,1.030106,,
1200.01182,61.75,1.0351,,
1200.00997,62,1.035958,,
1200.00998,62.25,1.039071,,
1200.01243,62.5,1.047101,,
1200.01399,62.75,1.031283,,
1200.01609,63,1.041733,,
1200.01414,63.25,1.047167,,
1200.01158,63.5,1.037267,,
1200.00973,63.75,1.05116,,
1200.0087,64,1.050566,,
1200.00855,64.25,1.047343,,
1200.00799,64.5,1.047937,,
1200.00703,64.75,1.05369,,
1200.01114,65,1.048223,,
1200.01,65.25,1.059498,,
1200.01444,65.5,1.054834,,
1200.01551,65.75,1.054944,,
1200.01318,66,1.063205,,
1200.01489,66.25,1.068089,,
1200.01288,66.5,1.071499,,
1200.01528,66.75,1.067132,,
1200.01659,67,1.062259,,
1200.01662,67.25,1.060125,,
1200.01936,67.5,1.069299,,
1200.01944,67.75,1.073446,,
1200.02058,68,1.071895,,
1200.02131,68.25,1.070289,,
1200.0224,68.5,1.068837,,
1200.02006,68.75,1.071301,,
1200.02174,69,1.082169,,
1200.02146,69.25,1.077857,,
1200.02153,69.5,1.076878,,
1200.02404,69.75,1.075459,,
1200.02074,70,1.078693,,
1200.02101,70.25,1.086778,,
1200.01991,70.5,1.082807,,
1200.02378,70.75,1.081938,,
1200.02204,71,1.075921,,
1200.0209,71.25,1.097943,,
1200.01694,71.5,1.08196,,
1200.01633,71.75,1.092498,,
1200.01926,72,1.092993,,
1200.02114,72.25,1.072632,,
1200.02102,72.5,1.090892,,
1200.01938,72.75,1.102805,,
1200.01637,73,1.108184,,
1200.01572,73.25,1.102662,,
1200.01415,73.5,1.100231,,
1200.01381,73.75,1.093664,,
1200.01036,74,1.102772,,
1200.00804,74.25,1.104521,,
1200.0087,74.5,1.104246,,
1200.0073,74.75,1.103828,,
1200.01198,75,1.105984,,
1200.01064,75.25,1.111418,,
1200.01168,75.5,1.10539,,
1200.01153,75.75,1.101936,,
1200.0105,76,1.113002,,
1200.00719,76.25,1.107007,,
