#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:29.01.2019 12:06,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:829.41,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200°C/04:00/1200°C,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200°C/04:00/1200°C,,,,
,,,surface area,2.469012
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1199.99801,46.5,0.4463184,,
1199.88684,46.75,0.5029,,
1199.88887,47,0.5323464,,
1199.92329,47.25,0.5391516,,
1199.97782,47.5,0.543881,,
1199.99689,47.75,0.559182,,
1199.99418,48,0.5637295,,
1199.98684,48.25,0.5724821,,
1199.97465,48.5,0.5822405,,
1199.96566,48.75,0.587751,,
1199.95736,49,0.5886926,,
1199.95007,49.25,0.5957225,,
1199.94513,49.5,0.6040364,,
1199.94254,49.75,0.604443,,
1199.93884,50,0.6129816,,
1199.94195,50.25,0.6243985,,
1199.94396,50.5,0.620493,,
1199.95,50.75,0.6173686,,
1199.95493,51,0.626271,,
1199.9584,51.25,0.6408016,,
1199.96,51.5,0.6336861,,
1199.96236,51.75,0.6477245,,
1199.96871,52,0.6470076,,
1199.97355,52.25,0.6416041,,
1199.97259,52.5,0.64307,,
1199.9716,52.75,0.6457985,,
1199.97482,53,0.6551075,,
1199.9787,53.25,0.6680224,,
1199.98436,53.5,0.669071,,
1199.9859,53.75,0.6742391,,
1199.98631,54,0.6712645,,
1199.98737,54.25,0.6752556,,
1199.98959,54.5,0.680734,,
1199.99171,54.75,0.6773956,,
1199.99107,55,0.685014,,
1199.99566,55.25,0.677952,,
1199.99171,55.5,0.6975116,,
1199.99488,55.75,0.6821785,,
1199.99228,56,0.7017595,,
1199.99736,56.25,0.6931246,,
1200.00283,56.5,0.7032361,,
1200.00524,56.75,0.7077301,,
1200.0073,57,0.7085005,,
1200.00572,57.25,0.7159905,,
1200.00435,57.5,0.7102446,,
1200.00518,57.75,0.7098915,,
1200.00382,58,0.7090141,,
1200.00399,58.25,0.7198425,,
1200.00457,58.5,0.7265621,,
1200.00511,58.75,0.7283704,,
1200.00852,59,0.7144176,,
1200.01099,59.25,0.7312915,,
1200.01176,59.5,0.731666,,
1200.0113,59.75,0.727921,,
1200.00865,60,0.7276535,,
1200.00832,60.25,0.7328965,,
1200.00713,60.5,0.7256419,,
1200.00542,60.75,0.733271,,
1200.00588,61,0.7347155,,
1200.00629,61.25,0.7422055,,
1200.00824,61.5,0.7389955,,
1200.0103,61.75,0.7333245,,
1200.01295,62,0.740761,,
1200.01512,62.25,0.7484971,,
1200.01618,62.5,0.7608449,,
