#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 00:25,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:DS,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:872.52,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1350°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1250°C,,,,
#SEG. 2:1250°C/10.0(K/min)/1350°C,,,,
#SEG. 3:1350°C/00:15/1350°C,,,,
#SEG. 4:1350°C/04:00/1350°C,,,,
,,,surface area,2.519378
##Temp./°C,Time/min,Mass loss/mg,,
1350.01191,49.5,2.4671736,,
1350.04566,49.75,2.4819588,,
1350.06066,50,2.4841728,,
1350.05714,50.25,2.4842484,,
1350.05416,50.5,2.4960312,,
1350.03924,50.75,2.4925428,,
1350.0223,51,2.489238,,
1350.01057,51.25,2.499498,,
1349.99832,51.5,2.5041852,,
1349.98915,51.75,2.5035588,,
1349.98765,52,2.5100928,,
1349.98795,52.25,2.5241112,,
1349.99099,52.5,2.5117776,,
1349.99204,52.75,2.5206228,,
1349.99171,53,2.5334208,,
1349.99513,53.25,2.5353108,,
1349.99671,53.5,2.5368552,,
1349.99608,53.75,2.5455384,,
1349.99757,54,2.5393716,,
1349.99888,54.25,2.5518132,,
1350.00175,54.5,2.552202,,
1350.00108,54.75,2.5515972,,
1350.00281,55,2.5595892,,
1350.00372,55.25,2.5605612,,
1350.00412,55.5,2.5629696,,
1350.00342,55.75,2.5721928,,
1350.00373,56,2.5670304,,
1350.00415,56.25,2.5689744,,
1350.00516,56.5,2.5718256,,
1350.00765,56.75,2.5763832,,
1350.0091,57,2.5831224,,
1350.01472,57.25,2.5831224,,
1350.01279,57.5,2.5831656,,
1350.00918,57.75,2.5885764,,
1350.00949,58,2.5936848,,
1350.01078,58.25,2.5940088,,
1350.01281,58.5,2.597292,,
1350.01832,58.75,2.5977996,,
