#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 10:49,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:942.11,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1400°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1300°C,,,,
#SEG. 2:1300°C/10.0(K/min)/1400°C,,,,
#SEG. 3:1400°C/00:15/1400°C,,,,
#SEG. 4:1400°C/04:00/1400°C,,,,
,,,surface area,2.68956
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1400.03148,50.5,1.005611,,
1400.06442,50.75,1.0462484,,
1400.06462,51,1.0563766,,
1400.04674,51.25,1.070136,,
1400.0267,51.5,1.0787601,,
1400.01231,51.75,1.0906416,,
1400.00254,52,1.1013038,,
1400.00104,52.25,1.1099635,,
1400.00035,52.5,1.1171369,,
1399.99534,52.75,1.1232245,,
1399.99309,53,1.1287692,,
1399.99262,53.25,1.1393958,,
1399.99424,53.5,1.1404638,,
1399.99602,53.75,1.1464891,,
1399.99648,54,1.1492392,,
1399.99723,54.25,1.1628918,,
1399.99927,54.5,1.1713201,,
1399.99812,54.75,1.1799709,,
1399.9951,55,1.1786982,,
1399.99245,55.25,1.1839047,,
1399.99113,55.5,1.1854444,,
1399.99953,55.75,1.1878652,,
1400.0052,56,1.1992483,,
1400.01114,56.25,1.210934,,
1400.01226,56.5,1.2137998,,
1400.01164,56.75,1.2043925,,
1400.01046,57,1.2187215,,
1400.00865,57.25,1.2173064,,
1400.00775,57.5,1.2245421,,
1400.00773,57.75,1.2345635,,
1400.00773,58,1.2390936,,
1400.00273,58.25,1.2432766,,
1400.00905,58.5,1.2478245,,
1400.0131,58.75,1.2535205,,
1400.01922,59,1.2623404,,
1400.02078,59.25,1.2556743,,
1400.01674,59.5,1.2476732,,
1400.0142,59.75,1.2625718,,
1400.0116,60,1.2642628,,
1400.01212,60.25,1.2657224,,
1400.01718,60.5,1.2762333,,
1400.01813,60.75,1.2843857,,
1400.01882,61,1.2873583,,
1400.01713,61.25,1.2904466,,
1400.01292,61.5,1.3134264,,
1400.01126,61.75,1.2907047,,
1400.01291,62,1.3017407,,
1400.01769,62.25,1.30207,,
1400.02304,62.5,1.3099109,,
1400.02253,62.75,1.308745,,
1400.02216,63,1.3160697,,
1400.0211,63.25,1.3170487,,
1400.01985,63.5,1.3220238,,
1400.02402,63.75,1.3353204,,
1400.01915,64,1.321917,,
1400.01663,64.25,1.3261623,,
1400.01722,64.5,1.3295621,,
1400.01652,64.75,1.3396814,,
1400.02262,65,1.3421111,,
1400.02176,65.25,1.3431524,,
1400.02469,65.5,1.3468993,,
1400.02004,65.75,1.3491065,,
1400.02042,66,1.3516786,,
1400.02085,66.25,1.3652155,,
1400.02192,66.5,1.3529068,,
1400.02292,66.75,1.3572589,,
1400.02352,67,1.3702974,,
1400.02398,67.25,1.3647082,,
1400.0234,67.5,1.3654825,,
1400.0218,67.75,1.374071,,
1400.02252,68,1.3791173,,
1400.02151,68.25,1.3794911,,
1400.02188,68.5,1.3840301,,
1400.02159,68.75,1.3861394,,
1400.01935,69,1.3885958,,
1400.02264,69.25,1.3934107,,
1400.02329,69.5,1.3898418,,
1400.02638,69.75,1.402373,,
1400.02724,70,1.3993025,,
1400.02651,70.25,1.4064937,,
1400.02901,70.5,1.4064759,,
1400.02629,70.75,1.4103207,,
1400.02609,71,1.4095286,,
1400.02542,71.25,1.4207604,,
1400.0273,71.5,1.4094396,,
1400.02327,71.75,1.4273731,,
1400.02274,72,1.426848,,
1400.02036,72.25,1.4318142,,
1400.02451,72.5,1.4364689,,
1400.02731,72.75,1.4348936,,
1400.02814,73,1.4361574,,
1400.02937,73.25,1.4378484,,
1400.03048,73.5,1.4401446,,
1400.03048,73.75,1.4477185,,
1400.02873,74,1.4439093,,
1400.02832,74.25,1.4519193,,
1400.02568,74.5,1.44625,,
1400.02386,74.75,1.4548919,,
1400.02362,75,1.4525512,,
1400.02306,75.25,1.45693,,
1400.02701,75.5,1.4749881,,
1400.02508,75.75,1.4775869,,
1400.02477,76,1.4713124,,
1400.02466,76.25,1.4598848,,
1400.02242,76.5,1.4646819,,
1400.02145,76.75,1.4848048,,
1400.01939,77,1.481049,,
1400.01956,77.25,1.4754153,,
1400.02325,77.5,1.4936959,,
1400.0238,77.75,1.4854456,,
1400.027,78,1.4865848,,
1400.02579,78.25,1.4894061,,
1400.02632,78.5,1.4866649,,
1400.0258,78.75,1.4857838,,
1400.02618,79,1.4973894,,
1400.02701,79.25,1.5036906,,
1400.02641,79.5,1.5060491,,
1400.02426,79.75,1.5061203,,
1400.02414,80,1.5109263,,
1400.02475,80.25,1.5162574,,
1400.02119,80.5,1.5002196,,
1400.02389,80.75,1.5157857,,
1400.02426,81,1.5242941,,
1400.02731,81.25,1.5250684,,
1400.02798,81.5,1.5199865,,
1400.02737,81.75,1.524481,,
1400.02701,82,1.5188206,,
1400.02704,82.25,1.5208409,,
